,constructorId,constructorRef,name,nationality,url,img_urls
20,21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png
21,22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,http://upload.wikimedia.org/wikipedia/en/thumb/5/54/Benetton_Formula_logo.jpg/210px-Benetton_Formula_logo.jpg
22,23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Brawn_GP_logo.svg/220px-Brawn_GP_logo.svg.png
23,24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,http://upload.wikimedia.org/wikipedia/en/0/00/Stewart_logo.png
24,25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Tyrrell.svg/220px-Tyrrell.svg.png
25,26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,http://upload.wikimedia.org/wikipedia/en/1/19/MasterCard_Lola_Formula_One_Team_logo.jpg
26,27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Ligier2017.png/220px-Ligier2017.png
27,28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,http://upload.wikimedia.org/wikipedia/en/a/a8/Forti_logo.png
28,29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,http://upload.wikimedia.org/wikipedia/en/3/36/Footwork_logo.png
29,30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,http://upload.wikimedia.org/wikipedia/en/8/8f/Pacific_Racing_logo.png
30,31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Simtek_logo.svg/150px-Simtek_logo.svg.png
